question_id,answer
HV-IC-0001,2942400000
HV-IC-0002,1516600000
HV-IC-0003,0
HV-IC-0006,0
HV-IC-0009,0
HV-IC-0010,0
HV-IC-0014,1
HV-IC-0017,326933333
HV-IC-0018,1150300000
HV-IC-0020,2
HV-IC-0021,1189100000
HV-IC-0023,0
HV-IC-0024,1
HV-IC-0025,1521400000
HV-IC-0026,1028500000
HV-IC-0027,3377600000
HV-IC-0028,2942400000
HV-IC-0030,195185714
HV-IC-0031,1
HV-IC-0032,1585300000
HV-IC-0033,76950000
HV-IC-0036,1232600000
HV-IC-0037,0
HV-IC-0038,0
HV-IC-0039,507900000
HV-IC-0040,450694737
HV-IC-0041,0
HV-IC-0043,0
HV-IC-0044,73950000
HV-IC-0045,1
HV-IC-0046,658300000
HV-IC-0048,128700000
HV-IC-0049,1424100000
HV-IC-0050,534500000
HV-IC-0051,309700000
HV-IC-0053,0
HV-IC-0054,8563200000
HV-IC-0055,0
HV-IC-0056,2942400000
HV-IC-0059,1
HV-IC-0061,0
HV-IC-0063,2
HV-IC-0071,28500000
HV-IC-0072,40288889
HV-IC-0073,0
HV-IC-0074,2
HV-IC-0076,1
HV-IC-0080,0
HV-IC-0081,430100000
HV-IC-0082,207675000
HV-IC-0085,783700000
HV-IC-0086,202266667
HV-IC-0088,240294737
HV-IC-0090,2341700000
HV-IC-0091,2
HV-IC-0092,495900000
HV-IC-0093,277757143
HV-IC-0095,88.89
HV-IC-0096,207675000
HV-IC-0097,0
HV-IC-0098,3698700000
HV-IC-0099,260188889
HV-IC-0100,115433333
HV-IC-0104,1034200000
HV-IC-0105,7548200000
HV-IC-0110,0
HV-IC-0111,2219900000
HV-IC-0112,159600000
HV-IC-0114,2
HV-IC-0115,611100000
HV-IC-0118,1
HV-IC-0119,326300000
HV-IC-0120,0
HV-IC-0121,1
HV-IC-0122,237500000
HV-IC-0123,5
HV-IC-0124,3849600000
HV-IC-0125,2303100000
HV-IC-0127,33000000
HV-IC-0129,2656900000
HV-IC-0130,3698700000
HV-IC-0131,592700000
HV-IC-0134,450694737
HV-IC-0135,2833800000
HV-IC-0136,1
HV-IC-0138,0
HV-IC-0139,0
HV-IC-0140,2615300000
HV-IC-0144,1
HV-IC-0146,0
HV-IC-0148,49800000
HV-IC-0149,1366300000
HV-IC-0151,769000000
HV-IC-0153,8563200000
HV-IC-0155,197200000
HV-IC-0156,7013400000
HV-IC-0158,1
HV-IC-0159,4563200000
HV-IC-0161,1
HV-IC-0162,115433333
HV-IC-0163,0
HV-IC-0164,1
HV-IC-0167,31185714
HV-IC-0172,880700000
HV-IC-0175,1661400000
HV-IC-0176,2097600000
HV-IC-0177,1
HV-IC-0178,157033333
HV-IC-0180,88.89
HV-IC-0181,5
HV-IC-0183,661000000
HV-IC-0184,783183333
HV-IC-0185,1383400000
HV-IC-0186,201600000
HV-IC-0188,260188889
HV-IC-0189,0
HV-IC-0191,3679300000
HV-IC-0192,880700000
HV-IC-0193,116057143
HV-IC-0194,61833333
HV-IC-0195,0
HV-IC-0196,11500000
HV-IC-0197,0
HV-IC-0198,0
HV-IC-0200,1
HV-IC-0202,1621500000
HV-IC-0206,4098100000
HV-IC-0207,1083300000
HV-IC-0209,274683333
HV-IC-0211,17900000
HV-IC-0212,0
HV-IC-0214,0
HV-IC-0215,3284500000
HV-IC-0216,831800000
HV-IC-0217,1067200000
HV-IC-0220,1077300000
HV-IC-0222,326300000
HV-IC-0223,7802900000
HV-IC-0224,1591200000
HV-IC-0225,6
HV-IC-0226,1732800000
HV-IC-0227,0
HV-IC-0228,1958800000
HV-IC-0229,2341700000
HV-IC-0232,250600000
HV-IC-0233,3296200000
HV-IC-0234,217833333
HV-IC-0235,2262700000
HV-IC-0236,1196800000
HV-IC-0240,334700000
HV-IC-0242,8436100000
HV-IC-0243,52200000
HV-IC-0244,1
HV-IC-0248,57000000
HV-IC-0249,1196800000
HV-IC-0253,83.33
HV-IC-0255,645300000
HV-IC-0256,0
HV-IC-0258,2997300000
HV-IC-0259,271442857
HV-IC-0260,8563200000
HV-IC-0263,3
HV-IC-0264,1738500000
HV-IC-0266,0
HV-IC-0268,416875000
HV-IC-0269,368700000
HV-IC-0270,410800000
HV-IC-0271,240294737
HV-IC-0273,2262700000
HV-IC-0276,2575000
HV-IC-0278,410966667
HV-IC-0279,58000000
HV-IC-0280,1661400000
HV-IC-0282,50500000
HV-IC-0284,0
HV-IC-0285,0
HV-IC-0286,1324900000
HV-IC-0287,826600000
HV-IC-0289,436000000
HV-IC-0290,1
HV-IC-0291,585442857
HV-IC-0292,2730900000
HV-IC-0293,314400000
HV-IC-0294,0
HV-IC-0295,720200000
HV-IC-0296,317128571
HV-IC-0297,110700000
HV-IC-0299,2629400000
HV-IC-0300,3163100000
HV-IC-0301,0
HV-IC-0302,1366300000
HV-IC-0304,240294737
HV-IC-0305,296300000
HV-IC-0306,2212300000
HV-IC-0310,1255700000
HV-IC-0311,861300000
HV-IC-0312,1
HV-IC-0313,0
HV-IC-0314,85.71
HV-IC-0315,61833333
HV-IC-0316,153300000
HV-IC-0318,1
HV-IC-0319,1831599999
HV-IC-0322,2860100000
HV-IC-0323,1219500000
HV-IC-0324,1
HV-IC-0326,512900000
HV-IC-0327,582600000
HV-IC-0328,1522500000
HV-IC-0329,274683333
HV-IC-0330,0
HV-IC-0331,0
HV-IC-0332,861300000
HV-IC-0333,20300000
HV-IC-0334,265700000
HV-IC-0335,1
HV-IC-0336,0
HV-IC-0337,389000000
HV-IC-0338,0
HV-IC-0339,1
HV-IC-0340,157166667
HV-IC-0342,450694737
HV-IC-0343,3296200000
