question_id,answer
HV-IC-0001,3798932640
HV-IC-0002,787267060
HV-IC-0003,56.21
HV-IC-0006,144874284
HV-IC-0009,60.42
HV-IC-0010,70.30
HV-IC-0014,129
HV-IC-0017,186482773
HV-IC-0018,1150300000
HV-IC-0020,2
HV-IC-0021,1010735000
HV-IC-0023,2796994291
HV-IC-0024,67
HV-IC-0025,365744560
HV-IC-0026,1028500000
HV-IC-0027,3377600000
HV-IC-0028,3798932640
HV-IC-0030,91600656
HV-IC-0031,2130
HV-IC-0032,1585300000
HV-IC-0033,76950000
HV-IC-0036,768156320
HV-IC-0037,84.81
HV-IC-0038,57.30
HV-IC-0039,189853020
HV-IC-0040,518298948
HV-IC-0041,433906156
HV-IC-0043,373832534
HV-IC-0044,73950000
HV-IC-0045,1135
HV-IC-0046,277078470
HV-IC-0048,205765560
HV-IC-0049,1424100000
HV-IC-0050,614675000
HV-IC-0051,377710120
HV-IC-0053,75.75
HV-IC-0054,11687055360
HV-IC-0055,3523237861
HV-IC-0056,3798932640
HV-IC-0059,535
HV-IC-0061,2796994291
HV-IC-0063,2
HV-IC-0071,22537800
HV-IC-0072,40288889
HV-IC-0073,32.91
HV-IC-0074,2
HV-IC-0076,411
HV-IC-0080,57.30
HV-IC-0081,759728640
HV-IC-0082,332030790
HV-IC-0085,257131970
HV-IC-0086,202266667
HV-IC-0088,240294737
HV-IC-0090,3373453020
HV-IC-0091,2
HV-IC-0092,232725870
HV-IC-0093,203707089
HV-IC-0095,65.19
HV-IC-0096,332030790
HV-IC-0097,57.30
HV-IC-0098,5047985760
HV-IC-0099,437481598
HV-IC-0100,115433333
HV-IC-0104,339321020
HV-IC-0105,7548200000
HV-IC-0110,33.34
HV-IC-0111,1628074660
HV-IC-0112,91035840
HV-IC-0114,2
HV-IC-0115,200501910
HV-IC-0118,568
HV-IC-0119,470067780
HV-IC-0120,3284995111
HV-IC-0121,1365
HV-IC-0122,187815000
HV-IC-0123,5
HV-IC-0124,1091746560
HV-IC-0125,3497487660
HV-IC-0127,28050000
HV-IC-0129,2656900000
HV-IC-0130,5047985760
HV-IC-0131,194464870
HV-IC-0134,518298948
HV-IC-0135,1059274440
HV-IC-0136,152
HV-IC-0138,457125438
HV-IC-0139,78.33
HV-IC-0140,1100779770
HV-IC-0144,2452
HV-IC-0146,70.30
HV-IC-0148,11971920
HV-IC-0149,1666339480
HV-IC-0151,1292996600
HV-IC-0153,11687055360
HV-IC-0155,92545960
HV-IC-0156,7013400000
HV-IC-0158,906
HV-IC-0159,7672564480
HV-IC-0161,376
HV-IC-0162,115433333
HV-IC-0163,3284995111
HV-IC-0164,174
HV-IC-0167,31185714
HV-IC-0172,1337431020
HV-IC-0175,2145033540
HV-IC-0176,3021802560
HV-IC-0177,64
HV-IC-0178,157033333
HV-IC-0180,55.40
HV-IC-0181,5
HV-IC-0183,853417100
HV-IC-0184,406550468
HV-IC-0185,649229620
HV-IC-0186,94610880
HV-IC-0188,437481598
HV-IC-0189,23.37
HV-IC-0191,3679300000
HV-IC-0192,1337431020
HV-IC-0193,116057143
HV-IC-0194,61833333
HV-IC-0195,33.34
HV-IC-0196,11500000
HV-IC-0197,727137718
HV-IC-0198,1825880058
HV-IC-0200,504
HV-IC-0202,1621500000
HV-IC-0206,2553935920
HV-IC-0207,1645099380
HV-IC-0209,417134109
HV-IC-0211,25786740
HV-IC-0212,2079504297
HV-IC-0214,53.27
HV-IC-0215,4482685600
HV-IC-0216,1014463280
HV-IC-0217,302657920
HV-IC-0220,1077300000
HV-IC-0222,470067780
HV-IC-0223,13783042560
HV-IC-0224,1078038000
HV-IC-0225,6
HV-IC-0226,2770400640
HV-IC-0227,1437950525
HV-IC-0228,3131729440
HV-IC-0229,3373453020
HV-IC-0232,288190000
HV-IC-0233,3790630000
HV-IC-0234,147582083
HV-IC-0235,543953080
HV-IC-0236,1633392640
HV-IC-0240,140875230
HV-IC-0242,8436100000
HV-IC-0243,29774880
HV-IC-0244,663
HV-IC-0248,69517200
HV-IC-0249,339412480
HV-IC-0253,56.46
HV-IC-0255,833146830
HV-IC-0256,26.19
HV-IC-0258,2997300000
HV-IC-0259,271442857
HV-IC-0260,11687055360
HV-IC-0263,3
HV-IC-0264,1738500000
HV-IC-0266,2844775002
HV-IC-0268,354343750
HV-IC-0269,619932180
HV-IC-0270,234320320
HV-IC-0271,240294737
HV-IC-0273,543953080
HV-IC-0276,2575000
HV-IC-0278,153619340
HV-IC-0279,66700000
HV-IC-0280,2145033540
HV-IC-0282,76689300
HV-IC-0284,1261262331
HV-IC-0285,701516592
HV-IC-0286,1324900000
HV-IC-0287,1460106240
HV-IC-0289,162976800
HV-IC-0290,1941
HV-IC-0291,364847988
HV-IC-0292,656508360
HV-IC-0293,213006000
HV-IC-0294,2079504297
HV-IC-0295,528194680
HV-IC-0296,533219979
HV-IC-0297,68988240
HV-IC-0299,2629400000
HV-IC-0300,3637565000
HV-IC-0301,701516592
HV-IC-0302,1666339480
HV-IC-0304,240294737
HV-IC-0305,97216030
HV-IC-0306,2212300000
HV-IC-0310,528524130
HV-IC-0311,1377046440
HV-IC-0312,129
HV-IC-0313,393216944
HV-IC-0314,72.85
HV-IC-0315,61833333
HV-IC-0316,209223840
HV-IC-0318,372
HV-IC-0319,2364778759
HV-IC-0322,2860100000
HV-IC-0323,826211250
HV-IC-0324,1785
HV-IC-0326,191722020
HV-IC-0327,302427660
HV-IC-0328,868434000
HV-IC-0329,417134109
HV-IC-0330,6443660440
HV-IC-0331,26.19
HV-IC-0332,1377046440
HV-IC-0333,20300000
HV-IC-0334,111833130
HV-IC-0335,1150
HV-IC-0336,78.62
HV-IC-0337,687129600
HV-IC-0338,359221855
HV-IC-0339,41
HV-IC-0340,124287400
HV-IC-0342,518298948
HV-IC-0343,3790630000
HV-IC-0344,177999390
HV-IC-0346,23.37
HV-IC-0347,65.90
HV-IC-0348,370896950
HV-IC-0349,240294737
HV-IC-0350,84.81
HV-IC-0351,254814600
HV-IC-0352,84.81
HV-IC-0356,207705600
HV-IC-0357,90.04
HV-IC-0361,32.91
HV-IC-0362,2796994291
HV-IC-0368,1138
HV-IC-0371,359221855
HV-IC-0373,83.55
HV-IC-0374,202266667
HV-IC-0376,1640400000
HV-IC-0377,1350500000
HV-IC-0380,5
HV-IC-0381,1825880058
HV-IC-0382,144874284
HV-IC-0385,70.30
HV-IC-0386,7548200000
HV-IC-0387,2551
HV-IC-0389,84.81
HV-IC-0390,304845395
HV-IC-0391,5222174
HV-IC-0392,307371878
HV-IC-0393,74257700
HV-IC-0394,47628436
HV-IC-0395,141252125
HV-IC-0396,258859089
HV-IC-0397,25044542
HV-IC-0398,83695139
HV-IC-0399,153615621
HV-IC-0400,5271022
HV-IC-0401,16960229
HV-IC-0402,137717817
HV-IC-0403,27766580
HV-IC-0404,7822
HV-IC-0405,122976053
HV-IC-0406,37740914
HV-IC-0407,181544012
HV-IC-0408,34124708
HV-IC-0409,61349923
HV-IC-0410,330010947
HV-IC-0411,3507654
HV-IC-0412,-13279236
HV-IC-0413,59384417
HV-IC-0414,103581170
HV-IC-0415,84768040
HV-IC-0416,109735000
HV-IC-0417,153928000
HV-IC-0418,990430920
HV-IC-0419,1272508160
HV-IC-0420,1027985000
HV-IC-0421,259143750
HV-IC-0422,458553030
HV-IC-0423,685107440
HV-IC-0424,503733120
HV-IC-0425,286256100
HV-IC-0426,124066880
HV-IC-0427,827028480
HV-IC-0428,2043400
HV-IC-0429,1254604200
HV-IC-0430,38164980
HV-IC-0431,348755000
HV-IC-0432,14204400
HV-IC-0434,138622250
HV-IC-0435,591675000
HV-IC-0436,651978240
HV-IC-0437,567308280
HV-IC-0438,105697720
HV-IC-0439,231648480
HV-IC-0440,380233280
HV-IC-0441,716173170
HV-IC-0442,107960850
HV-IC-0443,294275040
HV-IC-0444,13127860
HV-IC-0445,447184360
HV-IC-0447,285972190
HV-IC-0448,9039040
HV-IC-0449,107178160
HV-IC-0450,932439480
HV-IC-0451,2075515280
HV-IC-0452,1523389760
HV-IC-0453,703574760
HV-IC-0454,251635390
HV-IC-0455,480115590
HV-IC-0456,505089200
HV-IC-0457,1221991080
HV-IC-0459,1136545240
HV-IC-0460,803960320
HV-IC-0461,687755590
HV-IC-0462,954125000
HV-IC-0463,740656700
HV-IC-0464,47982600
HV-IC-0465,314360000
HV-IC-0466,288479280
HV-IC-0467,471845000
HV-IC-0468,342109870
HV-IC-0469,152746320
HV-IC-0470,92545960
HV-IC-0471,102542050
HV-IC-0472,121229640
HV-IC-0473,149088520
HV-IC-0474,1521400320
HV-IC-0475,140733180
HV-IC-0476,6242460
HV-IC-0477,132965420
